classification,sport,league,event,market,player,period,side_a,line_a,book_a,odds_a,side_b,line_b,book_b,odds_b,combined_implied,reason
"not_arb","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","san antonio spurs","","bovada","-125","oklahoma city thunder","","4c","115","1.020672","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder @ san antonio spurs","total","","full_game","over","218","bovada","-110","under","218","4c","101","1.021322","Opposite sides on the same line."
"not_arb","basketball","nba","new york knicks @ cleveland cavaliers","moneyline","","full_game","cleveland cavaliers","","bovada","-135","new york knicks","","4c","122","1.024919","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","san antonio spurs","","bovada","-125","oklahoma city thunder","","4c","113","1.025039","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder @ san antonio spurs","total","","full_game","over","218","bovada","-110","under","218","4c","-101","1.026297","Opposite sides on the same line."
"not_arb","basketball","nba","new york knicks @ cleveland cavaliers","moneyline","","full_game","new york knicks","","bovada","115","cleveland cavaliers","","4c","-130","1.030334","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder","","bovada","105","san antonio spurs","","4c","-119","1.031184","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder @ san antonio spurs","total","","full_game","over","218","bovada","-110","under","218","4c","-103","1.031199","Opposite sides on the same line."
"not_arb","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","san antonio spurs","","bovada","-125","oklahoma city thunder","","4c","110","1.031746","Opposite sides on the same line."
"not_arb","basketball","nba","new york knicks @ cleveland cavaliers","moneyline","","full_game","new york knicks","","bovada","115","cleveland cavaliers","","4c","-131","1.032216","Opposite sides on the same line."
"not_arb","basketball","nba","new york knicks @ cleveland cavaliers","moneyline","","full_game","cleveland cavaliers","","bovada","-135","new york knicks","","4c","118","1.033184","Opposite sides on the same line."
