selection,bovada_american,novig_american,4c_american,rebet_american,prophetx_american,book_count,best_book,implied_gap
"basketball|nba|oklahoma city thunder vs san antonio spurs|spread||full_game|2.5|oklahoma city thunder",-130,,-110,,,2,4c,0.0414
"basketball|nba|oklahoma city thunder vs san antonio spurs|spread||full_game|3.5|oklahoma city thunder",-150,,-131,,,2,4c,0.0329
"basketball|nba|oklahoma city thunder vs san antonio spurs|spread||full_game|1.5|oklahoma city thunder",-110,,103,,,2,4c,0.0312
"basketball|nba|oklahoma city thunder vs san antonio spurs|spread||full_game|3|oklahoma city thunder",-135,,-119,,,2,4c,0.0311
"basketball|nba|oklahoma city thunder vs san antonio spurs|spread||full_game|1|oklahoma city thunder",-105,,106,,,2,4c,0.0268
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|218|under",-110,,100,-110,,3,4c,0.0238
"basketball|nba|oklahoma city thunder vs san antonio spurs|moneyline||full_game|na|oklahoma city thunder",105,,113,105,,3,4c,0.0183
"basketball|nba|oklahoma city thunder vs san antonio spurs|spread||full_game|-1|san antonio spurs",-125,,-117,,,2,4c,0.0164
"basketball|nba|oklahoma city thunder vs san antonio spurs|spread||full_game|-1.5|san antonio spurs",-120,,-113,,,2,4c,0.0149
"basketball|nba|oklahoma city thunder vs san antonio spurs|spread||full_game|-3|san antonio spurs",105,,109,,,2,4c,0.0093
"basketball|nba|oklahoma city thunder vs san antonio spurs|moneyline||full_game|na|san antonio spurs",-125,,-121,-124,,3,4c,0.0080
"basketball|nba|oklahoma city thunder vs san antonio spurs|spread||full_game|-3.5|san antonio spurs",115,,118,,,2,4c,0.0064
"basketball|nba|oklahoma city thunder vs san antonio spurs|total||full_game|218|over",-110,,-108,-110,,3,4c,0.0046
"basketball|nba|oklahoma city thunder vs san antonio spurs|spread||full_game|-2.5|san antonio spurs",100,,101,,,2,4c,0.0025
