selection,bovada_american,novig_american,4c_american,rebet_american,prophetx_american,book_count,best_book,implied_gap
spread|full_game|SAS|9.5,,-545,,-455,,2,rebet,0.0679
spread|full_game|OKC|11.5,,-537,,-455,,2,rebet,0.0664
spread|full_game|SAS|6.5,,-315,,-294,,2,rebet,0.0630
total|full_game|223.5|over,,131,,141,,2,rebet,0.0616
spread|full_game|SAS|4.5,,-233,,-217,,2,rebet,0.0608
spread|full_game|SAS|-11.5,,253,,250,,2,rebet,0.0596
spread|full_game|OKC|-9.5,,256,,250,,2,rebet,0.0581
spread|full_game|OKC|-4.5,,146,,147,,2,rebet,0.0462
spread|full_game|OKC|-5.5,,167,,163,,2,rebet,0.0420
spread|full_game|OKC|-6.5,,190,,177,,2,rebet,0.0410
total|full_game|212.5|under,,139,,137,,2,rebet,0.0392
spread|full_game|OKC|-3.5,,135,,133,,2,rebet,0.0378
total|full_game|213.5|under,,129,,125,,2,rebet,0.0356
total|full_game|224.5|over,,160,,155,,2,rebet,0.0348
total|full_game|214.5|under,,118,,117,,2,rebet,0.0338
spread|full_game|OKC|7.5,,-244,,-263,,2,rebet,0.0323
spread|full_game|OKC|5.5,,-183,,-189,,2,rebet,0.0310
spread|full_game|OKC|6.5,,-213,,-227,,2,rebet,0.0307
spread|full_game|OKC|-2.5,,123,,118,,2,rebet,0.0297
spread|full_game|OKC|8.5,,-279,,-313,,2,rebet,0.0293
spread|full_game|SAS|1.5,,-140,,-143,,2,rebet,0.0292
total|full_game|222.5|over,,138,,130,,2,rebet,0.0280
total|full_game|221.5|over,,127,,120,,2,rebet,0.0259
total|full_game|222.5|under,,-172,,-182,,2,rebet,0.0250
total|full_game|219.5|over,,107,,102,,2,rebet,0.0236
total|full_game|216.5|over,,-123,,-125,,2,rebet,0.0224
total|full_game|220.5|over,,118,,111,,2,rebet,0.0214
spread|full_game|SAS|-8.5,,218,,185,,2,rebet,0.0207
total|full_game|217.5|over,,-111,,-115,,2,rebet,0.0206
spread|full_game|SAS|-6.5,,170,,155,,2,rebet,0.0203
total|full_game|214.5|over,,-148,,-159,,2,rebet,0.0202
spread|full_game|SAS|-3.5,,116,,108,,2,rebet,0.0200
spread|full_game|OKC|4.5,,-153,,-167,,2,rebet,0.0197
total|full_game|215.5|over,,-134,,-143,,2,rebet,0.0193
spread|full_game|SAS|-1.5,,-110,,-115,,2,rebet,0.0192
spread|full_game|SAS|-5.5,,149,,135,,2,rebet,0.0180
spread|full_game|SAS|-7.5,,193,,170,,2,rebet,0.0177
spread|full_game|OKC|3.5,,-134,,-143,,2,rebet,0.0170
total|full_game|218.5|over,,-100,,-103,,2,rebet,0.0167
total|full_game|221.5|under,,-151,,-167,,2,rebet,0.0161
total|full_game|213.5|over,,-159,,-175,,2,rebet,0.0154
spread|full_game|SAS|-4.5,,133,,120,,2,rebet,0.0153
total|full_game|212.5|over,,-175,,-196,,2,rebet,0.0148
spread|full_game|SAS|2.5,,-147,,-161,,2,rebet,0.0143
total|full_game|224.5|under,,-197,,-227,,2,rebet,0.0132
total|full_game|220.5|under,,-135,,-149,,2,rebet,0.0126
ml|full_game|SAS,,-118,,-125,,2,rebet,0.0121
spread|full_game|SAS|3.5,,-165,,-185,,2,rebet,0.0112
total|full_game|223.5|under,,-164,,-204,,2,novig,0.0076
total|full_game|218.5|under,,-110,,-120,,2,rebet,0.0073
spread|full_game|SAS|-2.5,,107,,-102,,2,rebet,0.0066
ml|full_game|OKC,,116,,102,,2,novig,0.0061
total|full_game|217.5|under,,101,,-109,,2,rebet,0.0044
spread|full_game|OKC|-1.5,,127,,108,,2,novig,0.0042
total|full_game|219.5|under,,-116,,-133,,2,novig,0.0026
spread|full_game|OKC|2.5,,-111,,-122,,2,rebet,0.0024
total|full_game|215.5|under,,123,,108,,2,rebet,0.0007
total|full_game|216.5|under,,113,,100,,2,novig,0.0004
spread|full_game|OKC|1.5,,102,,-109,,2,novig,0.0002
