classification,sport,league,event,market,player,period,side_a,line_a,book_a,odds_a,side_b,line_b,book_b,odds_b,combined_implied,reason,liq_a,liq_b,roe,hold_pct,max_stake,trade_type,rating,score,flags
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1h","","bovada","105","oklahoma city thunder","","4c","106","0.973242","Opposite sides on the same line.","","938.679245","0.027494","-0.026758","938.679245","pure_arb","A","94",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1q","","bovada","105","oklahoma city thunder","","4c","106","0.973242","Opposite sides on the same line.","","938.679245","0.027494","-0.026758","938.679245","pure_arb","A","94",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 4q","","bovada","100","oklahoma city thunder","","4c","111","0.973934","Opposite sides on the same line.","","498.828829","0.026764","-0.026066","498.828829","pure_arb","A","93",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","spread","","full_game","san antonio spurs - 1q","-2.5","bovada","130","oklahoma city thunder","2.5","4c","-119","0.978162","Opposite sides on the same line.","","1143.59","0.022326","-0.021838","1143.59","pure_arb","A","91",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 4q","","bovada","100","oklahoma city thunder","","4c","109","0.978469","Opposite sides on the same line.","","629.357798","0.022005","-0.021531","629.357798","pure_arb","A","91",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 4q","","bovada","100","oklahoma city thunder","","4c","108","0.980769","Opposite sides on the same line.","","2939.814815","0.019608","-0.019231","2939.814815","pure_arb","A","90",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 2q","","bovada","-105","oklahoma city thunder","","4c","113","0.981679","Opposite sides on the same line.","","508.849558","0.018663","-0.018321","508.849558","pure_arb","A","89",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 4q","","bovada","100","oklahoma city thunder","","4c","106","0.985437","Opposite sides on the same line.","","938.679245","0.014778","-0.014563","938.679245","pure_arb","A","87",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 2q","","bovada","-105","oklahoma city thunder","","4c","111","0.986129","Opposite sides on the same line.","","498.828829","0.014066","-0.013871","498.828829","pure_arb","A","87",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1h","","bovada","105","oklahoma city thunder","","rebet","105","0.975610","Opposite sides on the same line.","","","0.025000","-0.024390","","pure_arb","A","85",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1q","","bovada","105","oklahoma city thunder","","rebet","105","0.975610","Opposite sides on the same line.","","","0.025000","-0.024390","","pure_arb","A","85",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","spread","","full_game","oklahoma city thunder - 1h","-0.5","bovada","110","oklahoma city thunder","0.5","4c","109","0.954659","Opposite sides on the same line.","","649.541284","0.047494","-0.045341","649.541284","pure_arb","B","84","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 2q","","bovada","-105","okc","","novig","115","0.977311","Opposite sides on the same line.","","","0.023215","-0.022689","","pure_arb","A","84","liquidity_unknown:novig"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1h","","bovada","105","oklahoma city thunder","","4c","113","0.957288","Opposite sides on the same line.","","508.849558","0.044617","-0.042712","508.849558","pure_arb","B","83","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1q","","bovada","105","oklahoma city thunder","","4c","113","0.957288","Opposite sides on the same line.","","508.849558","0.044617","-0.042712","508.849558","pure_arb","B","83","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","spread","","full_game","san antonio spurs - 1q","-2.5","bovada","130","oklahoma city thunder","2.5","4c","-110","0.958592","Opposite sides on the same line.","","660","0.043197","-0.041408","660","pure_arb","B","83","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","spread","","full_game","san antonio spurs - 1q","-2.5","bovada","130","oklahoma city thunder","2.5","4c","-111","0.960849","Opposite sides on the same line.","","634.92","0.040746","-0.039151","634.92","pure_arb","B","82","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","spread","","full_game","oklahoma city thunder - 1h","-0.5","bovada","110","oklahoma city thunder","0.5","4c","106","0.961627","Opposite sides on the same line.","","38","0.039904","-0.038373","38","pure_arb","B","81","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1h","","bovada","105","oklahoma city thunder","","4c","111","0.961739","Opposite sides on the same line.","","498.828829","0.039784","-0.038261","498.828829","pure_arb","B","81","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1q","","bovada","105","oklahoma city thunder","","4c","111","0.961739","Opposite sides on the same line.","","498.828829","0.039784","-0.038261","498.828829","pure_arb","B","81","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","spread","","full_game","san antonio spurs - 1q","-2.5","bovada","130","oklahoma city thunder","2.5","4c","-112","0.963084","Opposite sides on the same line.","","280","0.038330","-0.036916","280","pure_arb","B","81","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1h","","bovada","105","oklahoma city thunder","","4c","109","0.966274","Opposite sides on the same line.","","629.357798","0.034903","-0.033726","629.357798","pure_arb","B","80","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1q","","bovada","105","oklahoma city thunder","","4c","109","0.966274","Opposite sides on the same line.","","629.357798","0.034903","-0.033726","629.357798","pure_arb","B","80","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1h","","bovada","105","oklahoma city thunder","","4c","108","0.968574","Opposite sides on the same line.","","2939.814815","0.032446","-0.031426","2939.814815","pure_arb","B","79","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 1q","","bovada","105","oklahoma city thunder","","4c","108","0.968574","Opposite sides on the same line.","","2939.814815","0.032446","-0.031426","2939.814815","pure_arb","B","79","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 4q","","bovada","100","oklahoma city thunder","","4c","113","0.969484","Opposite sides on the same line.","","508.849558","0.031477","-0.030516","508.849558","pure_arb","B","79","verify_uncommon_roe"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 4q","","bovada","100","oklahoma city thunder","","rebet","105","0.987805","Opposite sides on the same line.","","","0.012346","-0.012195","","pure_arb","A","78",""
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder - 3q","","bovada","-110","okc","","novig","115","0.988926","Opposite sides on the same line.","","","0.011198","-0.011074","","pure_arb","A","78","liquidity_unknown:novig"
"true_arb_candidate","basketball","nba","oklahoma city thunder @ san antonio spurs","moneyline","","full_game","oklahoma city thunder","","bovada","105","okc","","novig","115","0.952921","Opposite sides on the same line.","","","0.049405","-0.047079","","pure_arb","B","77","liquidity_unknown:novig|verify_uncommon_roe"
